library_book_id,library_id,book_id,quantity,available_quantity
1,1,587,1,1
2,1,922,2,1
3,1,681,5,0
4,1,224,3,3
5,1,97,3,1
6,1,914,2,2
7,1,736,4,2
8,1,41,2,2
9,1,393,1,0
10,1,706,4,2
11,1,995,1,0
12,1,704,1,1
13,1,459,2,2
14,1,46,2,0
15,1,589,5,4
16,1,263,4,1
17,1,291,2,1
18,1,828,1,1
19,1,700,1,0
20,1,400,4,0
21,1,473,2,2
22,1,156,4,3
23,1,120,5,4
24,1,457,1,0
25,1,607,4,3
26,1,280,1,0
27,1,553,2,2
28,1,821,2,0
29,1,754,1,1
30,1,949,5,4
31,1,64,5,1
32,1,32,3,2
33,1,102,2,2
34,1,789,5,5
35,1,797,4,1
36,1,340,2,1
37,1,20,2,0
38,1,51,3,2
39,1,720,3,1
40,1,413,4,0
41,1,327,1,1
42,1,728,5,4
43,1,377,1,1
44,1,820,3,1
45,1,269,2,2
46,1,731,1,0
47,1,564,2,1
48,1,3,1,0
49,1,548,2,2
50,1,664,5,2
51,1,106,5,4
52,1,301,1,0
53,1,921,5,3
54,1,514,2,1
55,1,695,3,3
56,1,816,2,1
57,1,35,4,2
58,1,959,5,5
59,1,204,1,0
60,1,740,5,5
61,1,136,4,0
62,1,87,1,1
63,1,583,1,0
64,1,844,3,0
65,1,861,5,3
66,1,53,1,1
67,1,691,1,0
68,1,701,2,0
69,1,615,5,1
70,1,562,3,2
71,1,83,1,1
72,1,584,5,0
73,1,634,2,2
74,1,478,5,5
75,1,127,1,1
76,1,894,3,1
77,1,833,2,1
78,1,534,5,5
79,1,810,2,0
80,1,710,4,4
81,1,298,4,3
82,1,689,1,1
83,1,275,3,1
84,1,99,1,1
85,1,541,3,1
86,1,294,3,2
87,1,925,2,0
88,1,928,5,4
89,1,96,3,0
90,1,496,4,3
91,1,586,4,4
92,1,623,2,0
93,1,471,1,1
94,1,849,2,2
95,1,993,4,2
96,1,741,4,2
97,1,865,1,0
98,1,521,4,4
99,1,68,5,0
100,1,202,1,0
101,1,875,5,0
102,1,308,1,0
103,1,963,4,3
104,1,680,4,3
105,1,116,5,4
106,1,470,2,0
107,1,133,2,0
108,1,220,1,0
109,1,282,4,1
110,1,111,2,2
111,1,163,3,0
112,1,947,2,1
113,1,848,2,0
114,1,662,1,1
115,1,225,1,1
116,1,745,5,0
117,1,356,5,2
118,1,419,5,1
119,1,360,2,2
120,1,654,5,0
121,1,425,1,1
122,1,590,2,1
123,1,529,5,4
124,1,407,5,4
125,1,854,2,2
126,1,672,5,2
127,1,530,2,0
128,1,957,4,2
129,1,373,5,0
130,1,92,4,3
131,1,606,2,1
132,1,405,1,0
133,1,822,2,0
134,1,7,1,1
135,1,531,5,0
136,1,23,2,1
137,1,980,2,1
138,1,219,3,0
139,1,449,4,4
140,1,342,1,1
141,1,302,4,0
142,1,256,4,3
143,1,588,4,0
144,1,402,2,1
145,1,890,3,1
146,1,448,2,0
147,1,233,5,4
148,1,139,3,0
149,1,632,3,0
150,1,181,1,0
151,1,427,4,2
152,1,416,4,4
153,1,270,3,3
154,1,713,4,4
155,1,246,5,2
156,1,636,5,0
157,1,600,3,0
158,1,757,4,4
159,1,515,2,1
160,1,358,3,3
161,1,183,2,1
162,1,388,1,1
163,1,157,3,1
164,1,643,5,5
165,1,563,3,3
166,1,370,1,1
167,1,94,1,0
168,1,811,2,1
169,1,864,1,0
170,1,912,1,0
171,1,659,2,2
172,1,504,5,3
173,1,434,4,4
174,1,165,5,1
175,1,694,2,0
176,1,772,3,1
177,1,108,1,0
178,1,670,3,2
179,1,176,5,2
180,1,932,3,2
181,1,874,1,1
182,1,739,5,4
183,1,153,4,4
184,1,544,3,0
185,1,287,2,2
186,1,398,2,2
187,1,904,2,0
188,1,887,4,0
189,1,535,5,0
190,1,926,4,2
191,1,438,4,3
192,1,415,1,0
193,1,121,3,0
194,1,748,3,0
195,1,199,5,2
196,1,547,4,1
197,1,311,2,0
198,1,812,5,2
199,1,239,5,3
200,1,601,3,3
201,1,573,4,2
202,1,550,1,1
203,1,331,1,0
204,1,442,2,2
205,1,944,4,3
206,1,498,3,3
207,1,200,4,1
208,1,817,5,2
209,1,439,1,1
210,1,988,4,3
211,1,73,1,1
212,1,414,3,2
213,1,747,3,1
214,1,451,1,0
215,1,714,3,3
216,1,985,3,3
217,1,938,1,0
218,1,283,5,4
219,1,945,3,1
220,1,113,1,0
221,1,345,2,0
222,1,468,4,0
223,1,987,4,0
224,1,428,5,0
225,1,72,3,1
226,1,762,1,1
227,1,173,3,1
228,1,803,5,2
229,1,456,1,1
230,1,290,2,1
231,1,279,3,3
232,1,2,2,0
233,1,423,5,4
234,1,125,5,3
235,1,611,4,2
236,1,114,2,0
237,1,49,5,5
238,1,667,5,3
239,1,222,3,0
240,1,80,1,0
241,1,487,1,1
242,1,252,3,2
243,1,186,4,4
244,1,292,4,1
245,1,508,3,3
246,1,592,1,0
247,1,387,5,4
248,1,727,3,1
249,1,93,4,2
250,1,996,3,1
251,1,56,5,4
252,1,649,4,3
253,1,29,2,2
254,1,858,5,2
255,1,769,4,3
256,1,871,4,3
257,1,783,2,2
258,1,253,1,1
259,1,401,4,0
260,1,800,2,0
261,1,610,4,0
262,1,493,1,1
263,1,983,3,2
264,1,818,4,1
265,1,609,4,0
266,1,668,5,0
267,1,130,4,1
268,1,516,1,0
269,1,826,3,3
