hold_id,user_id,library_book_id,hold_date,expiry_date,status,queue_position
1,33,6235,2024-12-15 14:49:53,2024-12-22 14:49:53,PENDING,1
2,277,3893,2024-12-04 17:32:28,2024-12-11 17:32:28,PENDING,1
3,77,6045,2024-12-06 20:47:21,2024-12-13 20:47:21,EXPIRED,1
4,393,778,2024-12-11 05:32:29,2024-12-18 05:32:29,PENDING,1
5,340,4816,2024-12-07 05:41:23,2024-12-14 05:41:23,EXPIRED,1
6,339,4706,2024-12-08 04:40:18,2024-12-15 04:40:18,EXPIRED,1
7,273,462,2024-12-15 01:25:37,2024-12-22 01:25:37,FULFILLED,1
8,347,4299,2024-12-15 16:09:37,2024-12-22 16:09:37,FULFILLED,1
9,123,7084,2024-12-04 17:08:37,2024-12-11 17:08:37,FULFILLED,1
10,58,3879,2024-12-05 08:58:19,2024-12-12 08:58:19,EXPIRED,1
11,275,2477,2024-12-10 08:14:02,2024-12-17 08:14:02,PENDING,1
12,245,1234,2024-12-04 04:03:56,2024-12-11 04:03:56,PENDING,1
13,182,6151,2024-12-06 07:14:06,2024-12-13 07:14:06,FULFILLED,1
14,381,3769,2024-12-09 20:14:34,2024-12-16 20:14:34,EXPIRED,1
15,249,1945,2024-12-08 22:24:58,2024-12-15 22:24:58,EXPIRED,1
16,496,148,2024-12-13 18:34:19,2024-12-20 18:34:19,FULFILLED,1
17,173,4073,2024-12-13 00:29:44,2024-12-20 00:29:44,EXPIRED,1
18,451,6864,2024-12-14 03:03:41,2024-12-21 03:03:41,FULFILLED,1
19,354,2248,2024-12-12 18:46:57,2024-12-19 18:46:57,EXPIRED,1
20,296,6444,2024-12-09 21:43:01,2024-12-16 21:43:01,FULFILLED,1
21,475,1281,2024-12-14 05:52:41,2024-12-21 05:52:41,FULFILLED,1
22,398,5317,2024-12-15 13:05:06,2024-12-22 13:05:06,FULFILLED,1
23,394,1727,2024-12-09 13:48:53,2024-12-16 13:48:53,PENDING,1
24,449,683,2024-12-10 18:23:33,2024-12-17 18:23:33,PENDING,1
25,486,1386,2024-12-15 09:10:58,2024-12-22 09:10:58,FULFILLED,1
26,339,599,2024-12-13 00:06:23,2024-12-20 00:06:23,EXPIRED,1
27,394,5675,2024-12-11 04:15:53,2024-12-18 04:15:53,EXPIRED,1
28,337,4428,2024-12-10 06:51:21,2024-12-17 06:51:21,FULFILLED,1
29,462,5312,2024-12-11 00:13:23,2024-12-18 00:13:23,FULFILLED,1
30,18,1275,2024-12-09 07:49:14,2024-12-16 07:49:14,EXPIRED,1
31,64,3669,2024-12-13 17:05:37,2024-12-20 17:05:37,EXPIRED,1
32,128,1313,2024-12-11 06:09:02,2024-12-18 06:09:02,EXPIRED,1
33,327,4428,2024-12-09 04:51:32,2024-12-16 04:51:32,FULFILLED,2
34,399,6629,2024-12-07 18:59:34,2024-12-14 18:59:34,EXPIRED,1
35,197,1486,2024-12-13 17:47:55,2024-12-20 17:47:55,FULFILLED,1
36,164,1665,2024-12-03 21:21:16,2024-12-10 21:21:16,EXPIRED,1
37,317,59,2024-12-16 23:01:26,2024-12-23 23:01:26,FULFILLED,1
38,103,3855,2024-12-06 08:56:26,2024-12-13 08:56:26,EXPIRED,1
39,490,5873,2024-12-08 07:23:06,2024-12-15 07:23:06,EXPIRED,1
40,232,6207,2024-12-10 01:44:13,2024-12-17 01:44:13,EXPIRED,1
41,57,4727,2024-12-09 19:44:34,2024-12-16 19:44:34,EXPIRED,1
42,425,364,2024-12-14 22:59:26,2024-12-21 22:59:26,FULFILLED,1
43,421,5748,2024-12-07 20:34:49,2024-12-14 20:34:49,FULFILLED,1
44,344,886,2024-12-15 02:17:10,2024-12-22 02:17:10,PENDING,1
45,63,6606,2024-12-08 02:22:58,2024-12-15 02:22:58,PENDING,1
46,104,4171,2024-12-04 00:48:19,2024-12-11 00:48:19,FULFILLED,1
47,39,5117,2024-12-06 17:48:14,2024-12-13 17:48:14,PENDING,1
48,34,1630,2024-12-04 00:29:26,2024-12-11 00:29:26,FULFILLED,1
49,414,1167,2024-12-09 20:24:50,2024-12-16 20:24:50,EXPIRED,1
50,474,1193,2024-12-05 14:52:38,2024-12-12 14:52:38,PENDING,1
51,399,5167,2024-12-12 12:10:49,2024-12-19 12:10:49,EXPIRED,1
52,214,1500,2024-12-14 16:40:36,2024-12-21 16:40:36,PENDING,1
53,456,39,2024-12-15 00:17:00,2024-12-22 00:17:00,FULFILLED,1
54,451,5082,2024-12-06 21:19:10,2024-12-13 21:19:10,PENDING,1
55,197,1044,2024-12-13 15:04:15,2024-12-20 15:04:15,EXPIRED,1
56,322,4020,2024-12-17 01:57:56,2024-12-24 01:57:56,FULFILLED,1
